City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Sao Filipe,CV,82.94,broken clouds,14.8961,-24.4956,Hotel Xaguate
Arraial Do Cabo,BR,84.16,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
Cabo San Lucas,MX,78.51,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
Samana,DO,85.96,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
Kudahuvadhoo,MV,81.5,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
Atuona,PF,78.28,clear sky,-9.8,-139.0333,Villa Enata
Lujan,AR,77.13,clear sky,-34.5703,-59.105,Hotel Biarritz
Georgetown,MY,82.33,scattered clouds,5.4112,100.3354,Cititel Penang
Victoria,HK,77.18,overcast clouds,22.2855,114.1577,Mini Central
Bambous Virieux,MU,77.25,broken clouds,-20.3428,57.7575,Casa Tia Villa
Rodrigues Alves,BR,89.8,overcast clouds,-7.738,-72.6509,Pousada Aconchego
Vaini,TO,75.36,light intensity shower rain,-21.2,-175.2,Keleti Beach Resort
Bonthe,SL,81.46,light rain,7.5264,-12.505,Bonthe Holiday Village
Hobyo,SO,80.8,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
Hithadhoo,MV,81.05,few clouds,-0.6,73.0833,Scoop Guest House
Coxim,BR,89.64,overcast clouds,-18.5067,-54.76,Rancho Da Curica
Manavalakurichi,IN,76.53,few clouds,8.1333,77.3,Jebinrio home
Padang,ID,75.25,heavy intensity rain,-0.9492,100.3543,Mercure Padang
Bengkulu,ID,75.15,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
Mahebourg,MU,77.29,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
Lodwar,KE,86.7,scattered clouds,3.1191,35.5973,Solmar Gracious Hotel
Takoradi,GH,81.66,few clouds,4.8845,-1.7554,Raybow International Hotel
Gizo,SB,82.63,scattered clouds,-8.103,156.8419,Imagination Island
Esmeralda,CU,86.79,overcast clouds,21.8525,-78.1169,Centro de Pioneros Exploradores
Puerto Leguizamo,CO,82.81,overcast clouds,-0.1934,-74.7819,la casona de juancho
Souillac,MU,77.38,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
Luganville,VU,78.76,broken clouds,-15.5333,167.1667,The Espiritu Hotel
Imbituba,BR,75.9,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
Salalah,OM,78.64,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
San Cristobal,VE,77.18,broken clouds,7.7669,-72.225,Pirineos
Saint-Philippe,RE,78.39,overcast clouds,-21.3585,55.7679,Le four à pain
Bowen,AU,75.74,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
Puerto Madryn,AR,81.23,scattered clouds,-42.7692,-65.0385,Hotel Tolosa
Miracema Do Tocantins,BR,85.75,broken clouds,-9.5618,-48.3967,Miami Apart Hotel
Butaritari,KI,81.61,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
Atar,MR,84.16,clear sky,20.5169,-13.0499,Oumou Elghoura
Bac Lieu,VN,77.41,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
Piacabucu,BR,81.95,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
Chokwe,MZ,85.87,scattered clouds,-24.5333,32.9833,Complexo Sonho Real
Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
Manaus,BR,91.9,moderate rain,-3.1019,-60.025,Manaus Hotéis Millennium
Tecoanapa,MX,85.33,clear sky,16.5167,-98.75,Hotel Manglares
Vila Velha,BR,80.55,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
Basco,PH,80.85,broken clouds,20.4487,121.9702,Nathaniel's Lodge
Tabou,CI,82.11,broken clouds,4.423,-7.3528,hotêl doufoulougou
Tual,ID,84.42,broken clouds,-5.6667,132.75,Grand Vilia Hotel
Mecca,SA,81.1,scattered clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
Mattru,SL,82.22,broken clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
Mahajanga,MG,82.42,few clouds,-15.7167,46.3167,Hôtel Restaurant Gourmand Coco Lodge Majunga
Batticaloa,LK,79.18,scattered clouds,7.7102,81.6924,Treatooo Hotel
Cuajinicuilapa,MX,87.64,clear sky,16.4667,-98.4167,Pozo S. XVI
Dakar,SN,97.68,clear sky,14.6937,-17.4441,Novotel Dakar
Karratha,AU,80.06,few clouds,-20.7377,116.8463,ibis Styles Karratha
Sao Sebastiao,BR,81.79,overcast clouds,-23.76,-45.4097,Hotel Recanto dos Pássaros
Acari,PE,80.33,overcast clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
Neuquen,AR,80.49,clear sky,-38.9516,-68.0591,Hotel del Comahue
Lorengau,PG,80.89,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
