City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Jamestown,US,42.097,-79.2353,42.53,44,0,10.36,clear sky
Sao Filipe,CV,14.8961,-24.4956,82.94,49,55,16.73,broken clouds
Torbay,CA,47.6666,-52.7314,35.76,86,100,19.57,light snow
Blackwater,AU,-23.5833,148.8833,67.68,25,42,8.81,scattered clouds
Saint George,US,37.1041,-113.5841,34.39,51,0,4.61,clear sky
Arraial Do Cabo,BR,-22.9661,-42.0278,84.16,65,40,28.77,scattered clouds
Ancud,CL,-41.8697,-73.8203,56.16,93,100,9.26,light rain
Beringovskiy,RU,63.05,179.3167,-9.11,97,9,13.2,clear sky
Hermanus,ZA,-34.4187,19.2345,69.8,70,59,8.84,broken clouds
Kapaa,US,22.0752,-159.319,72.19,86,89,1.01,overcast clouds
Mataura,NZ,-46.1927,168.8643,43.56,85,59,3.94,broken clouds
Kodiak,US,57.79,-152.4072,38.71,75,100,8.05,overcast clouds
Vuktyl,RU,63.8567,57.3094,-19.12,100,22,2.73,few clouds
Umea,SE,63.8284,20.2597,30.13,86,100,5.75,overcast clouds
Lagoa,PT,39.05,-27.9833,62.33,85,100,19.69,overcast clouds
Lebu,CL,-37.6167,-73.65,62.87,76,75,16.49,broken clouds
Luderitz,NA,-26.6481,15.1594,67.14,62,2,11.5,clear sky
Areka,ET,7.0667,37.7,68.59,50,92,4.09,overcast clouds
Albany,US,42.6001,-73.9662,44.94,53,67,1.99,broken clouds
Khatanga,RU,71.9667,102.5,-36.44,100,87,2.89,overcast clouds
Mendeleyevsk,RU,55.9082,52.2905,22.24,86,99,5.23,overcast clouds
Tasiilaq,GL,65.6145,-37.6368,34.88,97,100,20.85,light snow
Bugiri,UG,0.5714,33.7417,69.84,76,89,6.71,overcast clouds
Cabo San Lucas,MX,22.8909,-109.9124,78.51,59,23,1.01,few clouds
Longyearbyen,SJ,78.2186,15.6401,35.44,87,75,13.8,light intensity drizzle rain
Punta Arenas,CL,-53.15,-70.9167,59.11,51,75,21.85,broken clouds
Carroll,US,39.5501,-77.0164,53.55,28,0,5.75,clear sky
Ilulissat,GL,69.2167,-51.1,7.61,92,100,4.0,overcast clouds
Kasongo,CD,-4.45,26.6667,66.72,99,100,2.84,overcast clouds
Samana,DO,19.2056,-69.3369,85.96,79,40,9.22,scattered clouds
Kudahuvadhoo,MV,2.6708,72.8944,81.5,76,25,13.27,scattered clouds
Atuona,PF,-9.8,-139.0333,78.28,73,3,19.24,clear sky
Busselton,AU,-33.65,115.3333,63.12,80,83,10.63,broken clouds
Ushuaia,AR,-54.8,-68.3,60.42,44,40,4.61,scattered clouds
Yellowknife,CA,62.456,-114.3525,27.12,100,100,11.5,light snow
Lujan,AR,-34.5703,-59.105,77.13,35,0,8.01,clear sky
Georgetown,MY,5.4112,100.3354,82.33,89,40,3.44,scattered clouds
Avarua,CK,-21.2078,-159.775,73.45,88,100,9.22,overcast clouds
Yulara,AU,-25.2406,130.9889,64.78,45,99,3.87,overcast clouds
Port Alfred,ZA,-33.5906,26.891,70.18,77,83,3.0,broken clouds
Hegra,NO,63.4644,11.114,30.11,64,0,9.22,clear sky
Chokurdakh,RU,70.6333,147.9167,-35.01,100,88,1.72,overcast clouds
Aklavik,CA,68.2191,-135.0107,13.91,95,100,10.76,light snow
Turinsk,RU,58.0458,63.696,-1.14,99,85,3.18,overcast clouds
Pangnirtung,CA,66.1451,-65.7125,5.0,61,75,2.3,broken clouds
Victoria,HK,22.2855,114.1577,77.18,93,100,10.0,overcast clouds
Bambous Virieux,MU,-20.3428,57.7575,77.25,83,75,5.75,broken clouds
Katsuura,JP,35.1333,140.3,61.07,83,100,12.91,light rain
Rodrigues Alves,BR,-7.738,-72.6509,89.8,42,97,5.64,overcast clouds
Tiksi,RU,71.6872,128.8694,-22.77,100,90,2.55,overcast clouds
Ashqelon,IL,31.6693,34.5715,69.82,65,2,7.02,clear sky
Rikitea,PF,-23.1203,-134.9692,73.69,85,100,13.22,light rain
Vaini,TO,-21.2,-175.2,75.36,94,75,4.61,light intensity shower rain
Bonthe,SL,7.5264,-12.505,81.46,74,55,9.4,light rain
Hobyo,SO,5.3505,48.5268,80.8,70,64,15.41,broken clouds
Hithadhoo,MV,-0.6,73.0833,81.05,76,17,11.03,few clouds
Coxim,BR,-18.5067,-54.76,89.64,40,98,1.63,overcast clouds
San Quintin,MX,30.4833,-115.95,66.13,31,71,2.33,broken clouds
Hilo,US,19.7297,-155.09,68.61,89,36,7.0,scattered clouds
Manavalakurichi,IN,8.1333,77.3,76.53,76,22,11.03,few clouds
Thompson,CA,55.7435,-97.8558,21.36,93,100,2.3,light snow
Jiexiu,CN,37.0244,111.9125,42.89,75,0,5.35,clear sky
Mount Isa,AU,-20.7333,139.5,74.97,15,56,13.8,broken clouds
Hobart,AU,-42.8794,147.3294,49.05,65,100,12.66,overcast clouds
Padang,ID,-0.9492,100.3543,75.25,86,84,3.76,heavy intensity rain
Saint Anthony,US,45.0205,-93.218,33.87,73,51,3.0,broken clouds
Cidreira,BR,-30.1811,-50.2056,69.75,93,100,2.3,overcast clouds
Bengkulu,ID,-3.8004,102.2655,75.15,91,59,7.47,broken clouds
Hami,CN,42.8,93.45,36.1,50,89,3.89,overcast clouds
Qaanaaq,GL,77.484,-69.3632,5.05,85,100,5.14,overcast clouds
Mahebourg,MU,-20.4081,57.7,77.29,83,75,5.75,broken clouds
Tura,IN,25.5198,90.2201,60.96,89,4,3.85,clear sky
Tuktoyaktuk,CA,69.4541,-133.0374,17.6,93,100,14.97,overcast clouds
Vostok,RU,46.4856,135.8833,5.88,93,11,4.85,few clouds
Mitu,CO,1.1983,-70.1733,83.19,76,80,2.82,light rain
Lodwar,KE,3.1191,35.5973,86.7,42,38,18.43,scattered clouds
Cape Town,ZA,-33.9258,18.4232,71.11,65,0,17.27,clear sky
Ostersund,SE,63.1792,14.6357,27.05,100,40,9.22,scattered clouds
Takoradi,GH,4.8845,-1.7554,81.66,75,15,8.66,few clouds
San Patricio,US,28.017,-97.5169,50.18,92,100,10.45,overcast clouds
Mlowo,TZ,-9.0,32.9833,61.84,92,97,3.04,moderate rain
Bredasdorp,ZA,-34.5322,20.0403,66.29,62,54,10.13,broken clouds
Nome,US,64.5011,-165.4064,21.09,95,100,3.91,overcast clouds
Wenzhou,CN,27.9994,120.6668,66.38,92,99,3.04,overcast clouds
Horsham,GB,51.064,-0.3272,51.03,84,20,5.75,few clouds
Ribeira Grande,PT,38.5167,-28.7,61.77,88,75,19.57,light rain
Geraldton,AU,-28.7667,114.6,64.81,88,2,5.75,clear sky
Kaeo,NZ,-35.1,173.7833,55.33,92,65,15.12,broken clouds
Kokoda,PG,-8.8785,147.7407,74.46,94,77,0.74,broken clouds
Narsaq,GL,60.9167,-46.05,24.57,74,91,5.14,overcast clouds
Mnogovershinnyy,RU,53.9353,139.9242,13.84,84,86,15.82,overcast clouds
Cherskiy,RU,68.75,161.3,-38.6,100,45,1.9,scattered clouds
Bluff,NZ,-46.6,168.3333,50.72,78,69,10.71,broken clouds
Nanortalik,GL,60.1432,-45.2371,31.62,81,96,1.07,overcast clouds
Gizo,SB,-8.103,156.8419,82.63,73,44,7.2,scattered clouds
Caxhuacan,MX,20.0667,-97.6,69.22,78,43,5.99,scattered clouds
Esmeralda,CU,21.8525,-78.1169,86.79,58,89,12.15,overcast clouds
Puerto Leguizamo,CO,-0.1934,-74.7819,82.81,66,96,5.39,overcast clouds
Muravlenko,RU,63.7898,74.523,-20.94,94,12,11.48,few clouds
Mar Del Plata,AR,-38.0023,-57.5575,68.83,60,0,13.0,clear sky
Severo-Kurilsk,RU,50.6789,156.125,35.19,78,90,22.3,light snow
Pangkalanbuun,ID,-2.6833,111.6167,74.73,96,95,1.95,overcast clouds
Souillac,MU,-20.5167,57.5167,77.38,83,75,5.75,broken clouds
Jatiroto,ID,-7.8833,111.1167,74.34,92,100,2.48,overcast clouds
Nikolskoye,RU,59.7035,30.7861,26.49,77,100,6.73,overcast clouds
Luganville,VU,-15.5333,167.1667,78.76,84,84,3.0,broken clouds
Rio Gallegos,AR,-51.6226,-69.2181,69.85,28,20,11.5,few clouds
Beloha,MG,-25.1667,45.05,67.62,59,0,13.58,clear sky
Adrar,MR,20.5022,-10.0711,77.05,13,0,13.27,clear sky
Imbituba,BR,-28.24,-48.6703,75.9,78,100,13.15,overcast clouds
Castro,BR,-24.7911,-50.0119,66.56,88,100,4.9,overcast clouds
Salalah,OM,17.0151,54.0924,78.64,69,9,1.32,clear sky
Lardos,GR,36.0942,28.0157,65.95,65,0,7.7,clear sky
San Cristobal,VE,7.7669,-72.225,77.18,43,65,3.15,broken clouds
Dikson,RU,73.5069,80.5464,-11.27,94,100,15.88,overcast clouds
Kruisfontein,ZA,-34.0033,24.7314,67.89,73,78,9.98,broken clouds
Saint-Philippe,RE,-21.3585,55.7679,78.39,82,99,5.57,overcast clouds
