City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Butaritari,KI,2022-11-19 16:07:54,3.0707,172.7902,81.16,74,95,16.37
1,Llandrindod Wells,GB,2022-11-19 16:07:54,52.2416,-3.3787,43.95,85,100,4.47
2,Dubbo,AU,2022-11-19 16:07:55,-32.25,148.6167,71.73,56,75,11.5
3,Ushuaia,AR,2022-11-19 16:03:37,-54.8,-68.3,56.82,44,40,17.27
4,Marawi,PH,2022-11-19 16:07:55,7.9986,124.2928,69.22,95,100,2.28
5,Sao Joao Da Barra,BR,2022-11-19 16:07:56,-21.6403,-41.0511,75.87,57,82,10.4
6,Rikitea,PF,2022-11-19 16:07:57,-23.1203,-134.9692,70.18,70,100,12.08
7,Tlaltenango,MX,2022-11-19 16:07:57,19.1667,-98.3333,63.1,55,40,4.61
8,New Norfolk,AU,2022-11-19 16:07:57,-42.7826,147.0587,56.7,88,100,1.28
9,Punta Arenas,CL,2022-11-19 16:07:58,-53.15,-70.9167,50.11,62,20,34.52
10,Solnechnyy,RU,2022-11-19 16:07:58,50.7214,136.6319,22.77,85,100,4.81
11,Avarua,CK,2022-11-19 16:07:59,-21.2078,-159.775,71.65,88,75,4.61
12,Aberdeen,GB,2022-11-19 16:07:59,57.1437,-2.0981,47.19,80,100,18.41
13,Barrow,US,2022-11-19 16:07:59,71.2906,-156.7887,26.62,68,100,14.97
14,East London,ZA,2022-11-19 16:08:00,-33.0153,27.9116,66.49,64,36,19.06
15,Oktyabrskoye,RU,2022-11-19 16:08:00,43.0645,44.7417,41.14,87,7,6.71
16,Atar,MR,2022-11-19 16:08:01,20.5169,-13.0499,83.82,21,1,12.59
17,Sola,VU,2022-11-19 16:08:01,-13.8833,167.55,81.32,73,81,9.95
18,Emerald,AU,2022-11-19 16:03:16,-23.5333,148.1667,74.34,83,30,16.64
19,Albany,US,2022-11-19 16:08:00,42.6001,-73.9662,37.02,56,4,4.47
20,Gornyy,RU,2022-11-19 16:08:03,55.1153,83.9059,17.04,94,100,12.21
21,Port Moresby,PG,2022-11-19 16:08:04,-9.4431,147.1797,78.24,89,52,5.59
22,Afua,BR,2022-11-19 16:08:04,-0.1567,-50.3867,89.69,51,93,7.72
23,Juneau,US,2022-11-19 16:08:04,58.3019,-134.4197,39.11,100,100,0.0
24,Nevers,FR,2022-11-19 16:08:05,46.9167,3.3333,43.38,93,100,3.44
25,Varkkallai,IN,2022-11-19 16:08:05,8.7341,76.7067,82.18,79,100,0.16
26,Anloga,GH,2022-11-19 16:08:06,5.7947,0.8973,83.98,67,9,10.96
27,Talara,PE,2022-11-19 16:08:06,-4.5772,-81.2719,77.76,61,0,11.5
28,Feni,BD,2022-11-19 16:08:06,23.0186,91.41,68.22,76,48,5.12
29,Busselton,AU,2022-11-19 16:08:07,-33.65,115.3333,52.56,87,7,6.24
30,Muhos,FI,2022-11-19 16:08:07,64.808,25.9931,26.38,98,12,2.95
31,Los Llanos De Aridane,ES,2022-11-19 16:08:08,28.6585,-17.9182,69.55,64,40,17.27
32,Shingu,JP,2022-11-19 16:08:08,33.7333,135.9833,57.88,73,85,6.29
33,Rawson,AR,2022-11-19 16:08:09,-43.3002,-65.1023,71.24,31,99,10.89
34,Jamestown,US,2022-11-19 16:03:46,42.097,-79.2353,26.19,54,75,14.97
35,San Andres,CO,2022-11-19 16:08:09,12.5847,-81.7006,73.42,100,100,11.5
36,Waipawa,NZ,2022-11-19 16:08:09,-41.4122,175.5153,53.8,89,85,4.05
37,Padang,ID,2022-11-19 16:08:10,-0.9492,100.3543,75.25,87,100,3.65
38,Catamarca,AR,2022-11-19 16:08:11,-28.4696,-65.7852,95.58,26,7,5.99
39,Hithadhoo,MV,2022-11-19 16:08:11,-0.6,73.0833,81.03,78,30,10.25
40,Lima,PE,2022-11-19 16:05:21,-12.0432,-77.0282,66.45,73,100,6.91
41,Ponta Delgada,PT,2022-11-19 16:08:12,37.7333,-25.6667,67.5,68,75,12.66
42,Flinders,AU,2022-11-19 16:08:13,-34.5833,150.8552,66.38,83,79,4.0
43,San Quintin,MX,2022-11-19 16:08:13,30.4833,-115.95,60.64,49,0,1.14
44,Cape Town,ZA,2022-11-19 16:09:14,-33.9258,18.4232,70.12,53,22,7.0
45,Longyearbyen,SJ,2022-11-19 16:09:14,78.2186,15.6401,39.04,81,100,14.97
46,Aklavik,CA,2022-11-19 16:09:15,68.2191,-135.0107,19.72,88,98,2.71
47,Tiksi,RU,2022-11-19 16:09:16,71.6872,128.8694,-9.8,96,100,5.48
48,Airai,TL,2022-11-19 16:09:16,-8.9266,125.4092,62.28,95,100,0.45
49,Ilulissat,GL,2022-11-19 16:09:17,69.2167,-51.1,10.83,85,99,1.34
50,Caravelas,BR,2022-11-19 16:09:18,-17.7125,-39.2481,76.89,78,100,11.54
51,Hilo,US,2022-11-19 16:05:35,19.7297,-155.09,71.26,91,75,8.99
52,Kapaa,US,2022-11-19 16:09:18,22.0752,-159.319,75.52,88,40,19.57
53,Tevriz,RU,2022-11-19 16:09:19,57.509,72.4042,-1.44,93,29,5.32
54,Atuona,PF,2022-11-19 16:06:42,-9.8,-139.0333,76.84,73,40,11.81
55,Chuy,UY,2022-11-19 16:09:20,-33.6971,-53.4616,81.18,48,91,12.37
56,Dikson,RU,2022-11-19 16:06:10,73.5069,80.5464,-15.39,100,57,3.13
57,Dingle,PH,2022-11-19 16:08:53,10.9995,122.6711,75.33,94,100,2.17
58,Sarny,UA,2022-11-19 16:09:20,51.338,26.6019,27.5,76,100,7.74
59,Koslan,RU,2022-11-19 16:09:21,63.4564,48.8989,11.17,92,57,6.38
60,Ossora,RU,2022-11-19 16:09:21,59.2353,163.0719,10.6,79,2,6.13
61,Staryy Nadym,RU,2022-11-19 16:09:22,65.6118,72.6842,-2.54,92,100,20.94
